ΕΙΣΕΡΧΟΜΕΝΑ ΑΝΑΚΥΚΛΩΣΙΜΑ ΥΛΙΚΑ ΣΤΟ ΚΕΝΤΡΟ ΔΙΑΛΟΓΗΣ ΘΕΡΜΗΣ 2014-2024,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,Ιαν,Φεβ,Μαρ,Απρ,Μαϊ,Ιουν,Ιουλ,Αυγ,Σεπ,Οκτ,Νοε,Δεκ,sum,
ΘΕΡΜΗ,324520,295500,292600,329180,323760,,,,,,,,1565560,2024.0
ΘΕΡΜΗ,283720,229360,303680,281860,325700,357160,305800,302700,352430,337420,320120,302060,3702010,2023.0
ΘΕΡΜΗ,264760,251940,285420,281640,310820,325820,296260,295240,342960,296920,295770,289480,3537030,2022.0
ΘΕΡΜΗ,266160,253560,276600,289420,307980,313240,303860,231820,363630,258210,352060,315550,3532090,2021.0
ΘΕΡΜΗ,283320,254300,301240,302100,297860,337490,303860,256900,350090,312520,307790,304280,3611750,2020.0
ΘΕΡΜΗ,261420,228940,251860,281920,309420,293840,334500,266640,295220,343720,300460,307540,3475480,2019.0
ΘΕΡΜΗ,251080,207400,251240,253060,292840,288760,263140,276120,283340,305300,268660,244780,3185720,2018.0
ΘΕΡΜΗ,223500,205980,255890,228200,285390,273780,251910,237340,276130,264860,261090,227310,2991380,2017.0
ΘΕΡΜΗ,214790,214790,241810,249750,253470,265790,243630,242810,295970,257360,250320,236370,2966860,2016.0
ΘΕΡΜΗ,235090,208680,240580,258130,253770,296810,248640,227800,309240,268120,249730,248720,3045310,2015.0
ΘΕΡΜΗ,222720,196990,215140,248890,265460,267640,280520,250800,308590,266780,230480,264700,3018710,2014.0
